name,n_keypoints,type,category,average_correlation_per_keypoint,MMD-EMD,MMD-CD
sweet-glitter-9621,8,dpm,04225987,,3.0321702070068568e-05,0.02423715939930904
silvery-puddle-9620,8,dpm,03797390,,5.1155409892089665e-05,0.1993011300159861
floral-dew-9619,8,ours,03001627,0.6820652484893799,1.2612907084985636e-05,0.007631930128896593
volcanic-thunder-9618,8,dpm,03001627,,4.814262865693309e-05,0.16510953959880498
scarlet-wind-9617,8,dpm,04225987,,4.167548831901513e-05,0.029150602178558367
spring-energy-9616,8,ours,03790512,0.7696078419685364,1.3966111509944312e-05,0.0039012489841923617
fresh-microwave-9615,8,dpm,03797390,,5.983122537145391e-05,0.17480699746540218
woven-pond-9614,8,dpm,04225987,,3.823460065177642e-05,0.08314800250785463
iconic-brook-9613,8,dpm,04225987,,4.0759172406978905e-05,0.07879252944373322
divine-water-9612,8,dpm,03797390,,6.408894842024893e-05,0.32493167612389384
drawn-durian-9611,8,ours,03790512,0.781862735748291,1.359012458124198e-05,0.0028502036310137347
northern-paper-9610,8,dpm,04225987,,3.818018012680113e-05,0.05857950644122417
woven-wind-9609,8,dpm,03797390,,7.300658762687817e-05,0.3756589165466986
still-wildflower-9608,8,dpm,04225987,,2.9550259569077753e-05,0.02200442059043459
clear-microwave-9607,8,dpm,03797390,,7.045337406452745e-05,0.2483563542358615
comfy-yogurt-9606,8,ours,03790512,0.8014706373214722,1.3099260286253411e-05,0.003024611529058418
northern-oath-9605,8,dpm,04225987,,2.7340396627550945e-05,0.02120349644102148
kind-armadillo-9604,8,dpm,03797390,,5.756783139077015e-05,0.2805635093801567
lilac-puddle-9603,8,dpm,04225987,,3.9468257455155253e-05,0.027038480186580425
bright-thunder-9602,8,ours,03001627,0.6371377110481262,1.2550106475828215e-05,0.008944163574874061
prime-blaze-9601,8,dpm,03797390,,6.567656237166375e-05,0.21931113326290155
ancient-terrain-9600,8,dpm,04225987,,2.7894791855942455e-05,0.02859992313969666
daily-totem-9599,8,ours,03790512,0.8504902124404907,1.2088432413293049e-05,0.003131976852328179
woven-wildflower-9598,8,dpm,03797390,,6.967512308619916e-05,0.2400402850700542
lemon-elevator-9597,8,dpm,04225987,,6.105272768763825e-05,0.14164440432567946
rosy-cosmos-9596,8,dpm,03797390,,5.822116509079933e-05,0.22342459494445444
jumping-cloud-9595,8,dpm,04225987,,4.101326339878142e-05,0.0747221420109452
scarlet-deluge-9594,8,ours,03790512,0.7696079015731812,1.4000741430209018e-05,0.0042757329842908936
eager-wave-9593,8,dpm,03001627,,3.318165545351803e-05,0.05486887064476528
fast-terrain-9592,8,dpm,03797390,,7.4828538345173e-05,0.2101198888892012
rural-moon-9591,8,dpm,04225987,,4.67890604340937e-05,0.13833352768030885
northern-terrain-9590,8,dpm,03797390,,5.2538343879859895e-05,0.14260589088521158
helpful-silence-9589,8,dpm,04225987,,3.1100440537557006e-05,0.03375368563709058
radiant-thunder-9588,8,ours,03790512,0.7524510025978088,1.287975101149641e-05,0.003025449297125101
comfy-sea-9587,8,dpm,04225987,,3.5326236684340984e-05,0.03298910522681845
likely-deluge-9586,8,dpm,03797390,,4.854009239352308e-05,0.12543245284687923
absurd-salad-9585,8,ours,03001627,0.6916667222976685,1.3060863238933962e-05,0.008468741266265165
pious-wind-9584,8,ours,03790512,0.7941176891326904,1.3255543308332562e-05,0.0035528484198625297
jumping-pyramid-9583,8,dpm,03797390,,5.2455085096880794e-05,0.1883234135902804
hardy-lake-9582,8,dpm,04225987,,3.960977846872993e-05,0.040402638693075414
wandering-haze-9581,8,dpm,04225987,,4.022742359666154e-05,0.06090722361717878
young-dew-9580,8,dpm,03797390,,8.914574573282152e-05,0.3322157402218619
magic-sun-9579,8,ours,03790512,0.75,1.2614095794560852e-05,0.0027603106088827365
wobbly-planet-9578,8,dpm,04225987,,5.0645168812479824e-05,0.06301673397566235
lemon-aardvark-9577,8,dpm,03797390,,9.361272532260044e-05,0.4761846963100067
tough-forest-9576,8,dpm,04225987,,4.2773233872139826e-05,0.017437471924350967
colorful-sponge-9575,8,dpm,03797390,,7.591593021061271e-05,0.22839975776438076
sandy-totem-9574,8,ours,03790512,0.7647058963775635,1.3304242202138994e-05,0.0026328204883057688
fancy-waterfall-9573,8,dpm,04225987,,3.246130654588342e-05,0.022602849956270172
likely-brook-9572,8,dpm,03797390,,7.911079592304304e-05,0.30435523771346806
charmed-leaf-9571,8,dpm,04225987,,3.56414275302086e-05,0.047393329599661534
lyric-cherry-9570,8,ours,03001627,0.6643115878105164,1.2435283679224083e-05,0.008305623657099172
sweet-butterfly-9569,8,dpm,03797390,,5.756803147960454e-05,0.13327896125230854
clear-snowball-9568,8,ours,03790512,0.8210784196853638,1.3528214367397595e-05,0.0031774629062727064
decent-bush-9567,8,dpm,04225987,,7.260781421791762e-05,0.24775817278894677
deep-armadillo-9566,8,dpm,03797390,,7.224622095236555e-05,0.2458528022082742
crimson-firebrand-9565,8,dpm,04225987,,3.017194467247464e-05,0.026037520839314567
denim-silence-9564,8,dpm,03001627,,4.440308839548379e-05,0.06779385565461996
cerulean-grass-9563,8,dpm,03797390,,6.498189031844959e-05,0.23509499733698863
ancient-darkness-9562,8,ours,03790512,0.8333333730697632,1.1579591955523938e-05,0.0024356827425616374
earnest-sky-9561,8,dpm,04225987,,4.031226490042173e-05,0.03020917549083231
sandy-durian-9560,8,dpm,03797390,,5.720104309148155e-05,0.22334654248961583
visionary-microwave-9559,8,dpm,04225987,,3.949760866817087e-05,0.04824065225990829
solar-oath-9558,8,dpm,03797390,,4.689269917435013e-05,0.14301089395537972
summer-moon-9557,8,ours,03790512,0.781862735748291,1.1986434401478618e-05,0.002832128181862988
fancy-tree-9556,8,dpm,04225987,,3.4604829124873504e-05,0.051241801348003144
wild-wave-9555,8,dpm,03797390,,6.267215212574229e-05,0.2585332137073387
fluent-fog-9554,8,dpm,04225987,,4.125428313273005e-05,0.05501443169515851
pretty-dew-9553,8,ours,03001627,0.646195650100708,1.2945221897098236e-05,0.009016796260774056
revived-durian-9552,8,dpm,03797390,,8.124779560603201e-05,0.2096466735534868
amber-sound-9551,8,ours,03790512,0.7941176891326904,1.231011628988199e-05,0.003109092885550418
devout-night-9550,8,dpm,04225987,,3.6480752896750346e-05,0.043621400739234394
deep-star-9549,8,dpm,04225987,,3.482773172436282e-05,0.02604566501632531
fresh-gorge-9548,8,dpm,03797390,,5.795494143967517e-05,0.1705262248937998
eager-forest-9547,8,dpm,03797390,,4.6597164327977225e-05,0.14734760598550373
hopeful-pyramid-9546,8,ours,03790512,0.7843137383460999,1.255083680007374e-05,0.003082253665115558
good-dawn-9545,8,dpm,04225987,,7.41871990612708e-05,0.21109258189222
firm-sound-9544,8,dpm,03797390,,6.711814785376191e-05,0.1982398681120087
sparkling-paper-9543,8,dpm,04225987,,5.8829726185649633e-05,0.20513032482484905
legendary-snowflake-9542,8,ours,03790512,0.8210784196853638,1.282305038330378e-05,0.002828488841009266
wise-paper-9541,8,dpm,03797390,,8.919114770833403e-05,0.3068230616593368
legendary-fire-9540,8,dpm,04225987,,5.368307756725699e-05,0.11077321281572908
breezy-pond-9539,8,dpm,03797390,,7.8989913163241e-05,0.33415989322211787
vocal-glade-9538,8,dpm,04225987,,5.881566903553903e-05,0.07394229242010561
iconic-wave-9537,8,ours,03001627,0.6606884002685547,1.2434967175067868e-05,0.007912030757759111
young-brook-9536,8,ours,03790512,0.7769607901573181,1.3135444532963447e-05,0.0028007325521322655
easy-vortex-9535,8,dpm,04225987,,3.397660839254968e-05,0.03410913021214122
misunderstood-firebrand-9534,8,dpm,03797390,,6.737100193277001e-05,0.12680152093185168
rosy-smoke-9533,8,dpm,04225987,,4.201339106657542e-05,0.06006438573560609
lilac-forest-9532,8,dpm,03797390,,7.039016054477543e-05,0.3349397230606828
magic-water-9531,8,ours,03790512,0.7769607901573181,1.2447194421838503e-05,0.002974915896351838
breezy-resonance-9530,8,dpm,03001627,,5.100499765831046e-05,0.15217152652660462
copper-spaceship-9529,8,dpm,04225987,,4.077008634340018e-05,0.042363397292530386
winter-field-9528,8,dpm,03797390,,5.158130807103589e-05,0.15249793099425235
helpful-pyramid-9527,8,dpm,04225987,,3.884793113684282e-05,0.02126712927288289
firm-shape-9526,8,dpm,03797390,,6.806230521760881e-05,0.24473267090640735
glamorous-oath-9525,8,ours,03790512,0.7818627953529358,1.158199393103132e-05,0.002612308595621012
rare-deluge-9524,8,dpm,04225987,,7.740020373603329e-05,0.4475756192326102
feasible-smoke-9523,8,dpm,03797390,,4.516039916779846e-05,0.12430459130826076
upbeat-firebrand-9522,8,dpm,04225987,,2.5684526917757463e-05,0.03452197734842768
daily-lake-9521,8,ours,03790512,0.7401961088180542,1.069616246240912e-05,0.002987898665266585
ruby-pond-9520,8,dpm,03797390,,7.901665958343074e-05,0.1570280881046743
misunderstood-bee-9519,8,ours,03001627,0.664130449295044,1.2321714166318998e-05,0.008657593342533826
